id,pop,lat,long,group,age
T158,Black,-40.866417,145.283589,Female,juv
T306,Black,-40.855888,145.276375,Male,Ad
T305,Black,-40.878894,145.2885,Female,Ad
T148,Black,-40.991935,145.37568,Male,Ad
T149,Black,-40.991935,145.37568,Female,Ad
T106,Brid,-41.232048,147.459716,Male,Ad
T107,Brid,-41.232048,147.459716,Male,Ad
T110,Brid,-41.232048,147.459716,Female,Ad
T111,Brid,-41.232048,147.459716,Female,Ad
T308,Cam,-41.095667,145.795758,Male,Sub-Ad
T307,Cam,-41.069746,145.815204,Male,Ad
T302,Cam,-41.051213,145.828031,Male,Ad
T303,Cam,-41.04764,145.823026,Female,Juv
