id,pop,lat,lon,sex,maturity
AA010915,EmmacMDBForb,-33.382,148.001,Male,Adult
UC_00126,EmmacMaclGeor,-30.724008,152.193528,Male,Adult
AA032760,EmmacMDBMaci,-28.5484,150.3014,Male,SubAdult
AA013214,EmmacMDBSanf,-26.9066111,146.0333333,Male,SubAdult
AA011723,EmmacBurnBara,-26.30666667,151.98,Unknown,Unknown
AA012411,EmmacCoopEulb,-26.0456,141.8169,Male,Adult
AA019237,EmmacBurdMist,-22.56371667,147.0727667,Female,Adult
AA019238,EmmacBurdMist,-22.56371667,147.0727667,Female,Adult
AA019239,EmmacBurdMist,-22.56371667,147.0727667,Male,Adult
AA019235,EmmacBurdMist,-22.56371667,147.0727667,Female,Adult
AA019240,EmmacBurdMist,-22.56371667,147.0727667,Male,Adult
AA019241,EmmacBurdMist,-22.56371667,147.0727667,Female,Adult
AA019242,EmmacBurdMist,-22.56371667,147.0727667,Female,Adult
AA019243,EmmacBurdMist,-22.56371667,147.0727667,Male,Adult
AA019251,EmmacBurdMist,-22.56371667,147.0727667,Male,Adult
AA019252,EmmacBurdMist,-22.56371667,147.0727667,Male,Adult
AA012405,EmmacCoopEulb,-26.0456,141.8169,Female,Adult
AA012406,EmmacCoopEulb,-26.0456,141.8169,Female,Adult
AA012409,EmmacCoopEulb,-26.0456,141.8169,Female,Adult
AA012499,EmmacCoopEulb,-26.0456,141.8169,Male,Adult
AA012422,EmmacCoopEulb,-26.0456,141.8169,Male,Adult
AA012434,EmmacCoopEulb,-26.0456,141.8169,Female,Adult
AA012469,EmmacCoopEulb,-26.0456,141.8169,Female,Adult
AA012500,EmmacCoopEulb,-26.0456,141.8169,Male,Adult
AA032799,EmmacMDBCond,-26.8,150.6788,Female,Adult
AA032826,EmmacMDBCond,-26.8,150.6788,Female,Adult
AA010795,EmmacMDBBowm,-35.112376,147.342662,Female,Adult
AA010796,EmmacMDBBowm,-35.112376,147.342662,Female,Adult
AA032800,EmmacMDBCond,-26.8,150.6788,Male,Adult
AA032801,EmmacMDBCond,-26.8,150.6788,Male,Adult
AA032808,EmmacMDBCond,-26.8,150.6788,Female,Adult
AA032809,EmmacMDBCond,-26.8,150.6788,Female,Adult
AA032811,EmmacMDBCond,-26.8,150.6788,Male,Adult
AA032812,EmmacMDBCond,-26.8,150.6788,Male,Adult
AA032822,EmmacMDBCond,-26.8,150.6788,Male,Adult
AA032825,EmmacMDBCond,-26.8,150.6788,Female,Adult
AA010797,EmmacMDBBowm,-35.112376,147.342662,Female,Adult
AA010752,EmmacMDBCudg,-32.588601,149.58923,Female,Adult
AA010754,EmmacMDBCudg,-32.588601,149.58923,Female,Adult
AA010756,EmmacMDBCudg,-32.588601,149.58923,Female,Adult
AA010798,EmmacMDBBowm,-35.112376,147.342662,Female,Adult
AA010799,EmmacMDBBowm,-35.112376,147.342662,Male,Adult
AA010800,EmmacMDBBowm,-35.112376,147.342662,Male,Adult
AA010802,EmmacMDBBowm,-35.112376,147.342662,Female,Adult
AA010803,EmmacMDBBowm,-35.112376,147.342662,Male,Adult
AA010804,EmmacMDBBowm,-35.112376,147.342662,Male,Adult
AA010809,EmmacMDBBowm,-35.112376,147.342662,Male,Adult
AA010749,EmmacMDBCudg,-32.588601,149.58923,Female,Adult
AA010758,EmmacMDBCudg,-32.588601,149.58923,Female,Adult
AA010763,EmmacMDBCudg,-32.588601,149.58923,Male,Adult
AA010765,EmmacMDBCudg,-32.588601,149.58923,Male,Adult
AA010771,EmmacMDBCudg,-32.588601,149.58923,Male,Adult
AA010772,EmmacMDBCudg,-32.588601,149.58923,Male,Adult
AA010781,EmmacMDBCudg,-32.588601,149.58923,Male,Adult
AA032762,EmmacMDBMaci,-28.5484,150.3014,Male,Adult
AA032763,EmmacMDBMaci,-28.5484,150.3014,Female,Adult
AA032756,EmmacMDBMaci,-28.5484,150.3014,Male,Adult
AA032757,EmmacMDBMaci,-28.5484,150.3014,Female,Adult
AA032758,EmmacMDBMaci,-28.5484,150.3014,Female,Adult
AA032761,EmmacMDBMaci,-28.5484,150.3014,Female,Adult
AA032765,EmmacMDBMaci,-28.5484,150.3014,Female,Adult
AA010931,EmmacMDBForb,-33.382,148.001,Female,Adult
AA010937,EmmacMDBForb,-33.382,148.001,Male,Adult
AA010940,EmmacMDBForb,-33.382,148.001,Male,Adult
AA032764,EmmacMDBMaci,-28.5484,150.3014,Male,Adult
AA032768,EmmacMDBMaci,-28.5484,150.3014,Male,Adult
AA010936,EmmacMDBForb,-33.382,148.001,Female,Adult
AA010909,EmmacMDBForb,-33.382,148.001,Female,Adult
AA010916,EmmacMDBForb,-33.382,148.001,Female,Adult
AA010917,EmmacMDBForb,-33.382,148.001,Female,Adult
AA010920,EmmacMDBForb,-33.382,148.001,Male,Adult
AA010921,EmmacMDBForb,-33.382,148.001,Male,Adult
AA020651,EmmacMDBMurrMung,-36.09298333,146.9483667,Male,Adult
AA020652,EmmacMDBMurrMung,-36.09298333,146.9483667,Female,Adult
AA020667,EmmacMDBMurrMung,-36.09298333,146.9483667,Male,Adult
AA020669,EmmacMDBMurrMung,-36.09298333,146.9483667,Male,Adult
AA020655,EmmacMDBMurrMung,-36.09298333,146.9483667,Male,Adult
AA020656,EmmacMDBMurrMung,-36.09298333,146.9483667,Female,Adult
AA020644,EmmacMDBMurrMung,-36.09298333,146.9483667,Female,Adult
AA020645,EmmacMDBMurrMung,-36.09298333,146.9483667,Female,Adult
AA020646,EmmacMDBMurrMung,-36.09298333,146.9483667,Male,Adult
AA020649,EmmacMDBMurrMung,-36.09298333,146.9483667,Female,Adult
AA013203,EmmacMDBSanf,-26.9066111,146.0333333,Female,Adult
AA013217,EmmacMDBSanf,-26.9066111,146.0333333,Male,Adult
AA013220,EmmacMDBSanf,-26.9066111,146.0333333,Male,Adult
AA013202,EmmacMDBSanf,-26.9066111,146.0333333,Male,Adult
AA013225,EmmacMDBSanf,-26.9066111,146.0333333,Female,Adult
AA018496,EmmacRichCasi,-28.85786667,153.0257333,Female,Adult
AA018497,EmmacRichCasi,-28.85786667,153.0257333,Female,Adult
AA018513,EmmacRichCasi,-28.85786667,153.0257333,Male,Adult
AA013231,EmmacMDBSanf,-26.9066111,146.0333333,Male,Adult
AA013261,EmmacMDBSanf,-26.9066111,146.0333333,Female,Adult
AA013265,EmmacMDBSanf,-26.9066111,146.0333333,Female,Adult
AA013270,EmmacMDBSanf,-26.9066111,146.0333333,Female,Adult
AA018492,EmmacRichCasi,-28.85786667,153.0257333,Male,Adult
AA018493,EmmacRichCasi,-28.85786667,153.0257333,Female,Adult
AA018494,EmmacRichCasi,-28.85786667,153.0257333,Female,Adult
AA018495,EmmacRichCasi,-28.85786667,153.0257333,Female,Adult
AA018514,EmmacRichCasi,-28.85786667,153.0257333,Male,Adult
AA018515,EmmacRichCasi,-28.85786667,153.0257333,Male,Adult
AA018516,EmmacRichCasi,-28.85786667,153.0257333,Male,Adult
UC_0125,EmmacMaclGeor,-30.724008,152.193528,Female,Adult
UC_0126,EmmacMaclGeor,-30.724008,152.193528,Male,Adult
UC_0146,EmmacMaclGeor,-30.724008,152.193528,Female,Adult
UC_0149,EmmacMaclGeor,-30.724008,152.193528,Male,Adult
AA018640,EmmacClarJack,-29.549,152.6646667,Female,Adult
