EmmacBrisWive,Brisbane
EmmacBurdMist,Burdekin
EmmacBurnBara,Burnett
EmmacClarJack,Clarence
EmmacClarYate,Clarence
EmmacCoopAvin,CooperAvin
EmmacCoopCully,CooperCully
EmmacCoopEulb,CooperEulb
EmmacFitzAllig,Fitzroy
EmmacJohnWari,Johnstone
EmmacMaclGeor,Macleay
EmmacMaryBoru,Mary
EmmacMaryPetr,Mary
EmmacMDBBowm,Mbidgee
EmmacMDBCond,Condamine
EmmacMDBCudg,Macquarie
EmmacMDBForb,Lachlan
EmmacMDBGwyd,Gwydir
EmmacMDBMaci,Border
EmmacMDBMurrMung,Murray
EmmacMDBSanf,Warrego
EmmacNormJack,Normanby
EmmacNormLeic,Normanby
EmmacNormSalt,Normanby
EmmacRichCasi,Richmond
EmmacRoss,Ross
EmmacRussEube,Mulgrave
EmmacTweeUki,Tweed
EmsubRopeMata,Emsub
EmvicVictJasp,Emvic
